Date-time CET-CEST (DD/MM/YYYY HH:mm),hour_sin,hour_cos,Rainfall depth (mm),Air temperature (°C),Air humidity (%),Windspeed (km/h),DMA E (L/s)
2022-01-01 00:00:00,0.0,1.0,0.0,7.2,79.0,9.0,
2022-01-01 01:00:00,0.25881904510252074,0.9659258262890683,0.0,7.3,79.0,6.0,
2022-01-01 02:00:00,0.49999999999999994,0.8660254037844387,0.0,7.6,78.0,4.0,
2022-01-01 03:00:00,0.7071067811865476,0.7071067811865476,0.0,8.2,75.0,4.0,
2022-01-01 04:00:00,0.8660254037844386,0.5000000000000001,0.0,7.7,77.0,7.0,
2022-01-01 05:00:00,0.9659258262890683,0.25881904510252074,0.1,7.5,81.0,8.0,
2022-01-01 06:00:00,1.0,6.123233995736766e-17,0.0,7.6,82.0,8.0,
2022-01-01 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,7.6,84.0,9.0,
2022-01-01 08:00:00,0.8660254037844387,-0.4999999999999998,0.5,7.2,91.0,9.0,
2022-01-01 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,8.0,86.0,9.0,
2022-01-01 10:00:00,0.49999999999999994,-0.8660254037844387,0.3,8.0,88.0,10.0,
2022-01-01 11:00:00,0.258819045102521,-0.9659258262890682,0.0,8.8,87.0,8.0,
2022-01-01 12:00:00,1.2246467991473532e-16,-1.0,0.0,9.4,82.0,5.0,
2022-01-01 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,10.3,77.0,6.0,
2022-01-01 14:00:00,-0.4999999999999997,-0.8660254037844388,0.1,10.0,80.0,7.0,
2022-01-01 15:00:00,-0.7071067811865471,-0.7071067811865479,0.5,10.1,80.0,8.0,
2022-01-01 16:00:00,-0.8660254037844385,-0.5000000000000004,0.7,9.8,84.0,7.0,82.7325
2022-01-01 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,10.2,85.0,7.0,81.445
2022-01-01 18:00:00,-1.0,-1.8369701987210297e-16,0.0,10.8,81.0,8.0,80.6575
2022-01-01 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,10.6,75.0,12.0,83.845
2022-01-01 20:00:00,-0.8660254037844386,0.5000000000000001,0.4,9.7,85.0,10.0,85.875
2022-01-01 21:00:00,-0.7071067811865477,0.7071067811865474,0.1,9.7,84.0,8.0,79.6825
2022-01-01 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,10.5,77.0,8.0,73.1725
2022-01-01 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,10.6,80.0,14.0,68.365
2022-01-02 00:00:00,0.0,1.0,0.0,10.7,79.0,12.0,63.15
2022-01-02 01:00:00,0.25881904510252074,0.9659258262890683,0.0,10.8,79.0,10.0,58.53
2022-01-02 02:00:00,0.49999999999999994,0.8660254037844387,0.0,10.8,78.0,10.0,54.745
2022-01-02 03:00:00,0.7071067811865476,0.7071067811865476,0.0,11.1,73.0,15.0,54.3475
2022-01-02 04:00:00,0.8660254037844386,0.5000000000000001,0.2,10.2,78.0,15.0,54.2425
2022-01-02 05:00:00,0.9659258262890683,0.25881904510252074,0.0,10.3,77.0,14.0,55.1225
2022-01-02 06:00:00,1.0,6.123233995736766e-17,0.0,10.5,73.0,18.0,59.1625
2022-01-02 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,10.6,73.0,18.0,67.1075
2022-01-02 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,9.9,74.0,26.0,81.1625
2022-01-02 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,10.5,74.0,24.0,95.9675
2022-01-02 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,10.8,70.0,27.0,105.055
2022-01-02 11:00:00,0.258819045102521,-0.9659258262890682,0.0,11.1,67.0,23.0,103.48
2022-01-02 12:00:00,1.2246467991473532e-16,-1.0,0.0,11.6,70.0,25.0,101.1525
2022-01-02 13:00:00,-0.2588190451025208,-0.9659258262890683,0.1,10.6,75.0,26.0,97.185
